"album_name","artist_name","album_ranking","billboard_200_chart"
"Fetch the Bolt Cutters","Fiona Apple",1,4
"Saint Cloud","Waxahatchee",2,140
"græ","Moses Sumney",3,0
"Punisher","Phoebe Bridgers",3,43
"Set My Heart on Fire Immediately","Perfume Genius",5,0
"Rough and Rowdy Ways","Bob Dylan",6,2
"Heaven to a Tortured Mind","Yves Tumor",7,0
"Women in Music Pt. III","Haim",8,13
"What’s Your Pleasure?","Jessie Ware",9,34
"YHLQMDLG","Bad Bunny",10,2
"songs / instrumentals","Adrienne Lenker",11,0
"Eternal Atake","Lil Uzi Vert",12,1
"Microphones in 2020","The Microphones",13,0
"Act II: The Patents of Nobility (The Turn)","Jay Electronica",14,0
"Heavy Light","U.S. Girls",15,0
"RTJ4","Run the Jewels",16,10
"Róisín Machine","Róisín Murphy",17,0
"Have We Met","Destroyer",18,0
"The Angel You Don’t Know","Amaarae",19,0
"Shore","Fleet Foxes",20,28
